recipe,calories,carbohydrates_g,cholesterol_mg,fat_g,protein_g,sodium_mg,url
Meadowwood Tapioca Pudding,190,29.8,89,5.6,5,197.6,https://www.allrecipes.com/recipe/219782/meadowwood-tapioca-pudding/
Easy Slow Cooker Apple Pork Roast,527,18.8,145.2,29.4,44.6,203.6,https://www.allrecipes.com/recipe/213270/easy-slow-cooker-apple-pork-roast/
Slow Cooker Texas Pulled Pork,528,45.5,98.4,23.2,31.9,802.7,https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/
Best Italian Sausage Soup,436,43.5,33.4,17.8,21,1609.2,https://www.allrecipes.com/recipe/25713/best-italian-sausage-soup/
Slow Cooker Turkey Legs,217,0.2,89.1,6.9,36.3,101.9,https://www.allrecipes.com/recipe/216108/slow-cooker-turkey-legs/
Moms Italian Beef Barley Soup,512,35.4,107.4,27.8,29.7,884.1,https://www.allrecipes.com/recipe/26444/moms-italian-beef-barley-soup/
Bread Pudding In The Slow Cooker,397,57.9,150.8,14.3,11.4,455.4,https://www.allrecipes.com/recipe/231469/bread-pudding-in-the-slow-cooker/
Slow Cooker Chicken Dressing,246,25.8,84.9,9.5,13.7,991.1,https://www.allrecipes.com/recipe/22322/slow-cooker-chicken-dressing/
Mississippi Pot Roast,280,2.9,78.2,20.1,20,915.4,https://www.allrecipes.com/recipe/260697/mississippi-pot-roast/
Make Ahead Slow Cooker Beef Stew,467,43.8,68.6,20.6,25.3,1110.2,https://www.allrecipes.com/recipe/215565/make-ahead-slow-cooker-beef-stew/
Slow Cooker French Onion Pork Chops,205,9.4,55.9,10.6,17.4,618.4,https://www.allrecipes.com/recipe/280021/slow-cooker-french-onion-pork-chops/
Easy Two Ingredient Pulled Pork,536,65.1,67.3,15.9,30,1216.2,https://www.allrecipes.com/recipe/236095/easy-two-ingredient-pulled-pork/
Slow Cooker Thai Peanut Pork,209,9.8,36.1,10.8,19.2,787.6,https://www.allrecipes.com/recipe/186965/slow-cooker-thai-peanut-pork/
Slow Cooker Pork And Sauerkraut With Apples,400,21.8,94.7,18.4,37.2,1103.4,https://www.allrecipes.com/recipe/235927/slow-cooker-pork-and-sauerkraut-with-apples/
Old Fashioned Onion Soup,255,28.8,30.5,12.8,7.3,660,https://www.allrecipes.com/recipe/13363/old-fashioned-onion-soup/
Simple Beef Tips And Noodles,518,54.8,106.8,17.1,35,150.8,https://www.allrecipes.com/recipe/220865/simple-beef-tips-and-noodles/
Texas Deer Chili,291,19.6,107,7.3,36,815.8,https://www.allrecipes.com/recipe/25669/texas-deer-chili/
Slow Cooker Beef Stew Iv,492,25.7,106.2,27.5,33.5,409.6,https://www.allrecipes.com/recipe/25200/slow-cooker-beef-stew-iv/
Pork Picnic Pot Roast,552,35.4,116.6,30.2,33.7,341.3,https://www.allrecipes.com/recipe/242108/pork-picnic-pot-roast/
Kyles Favorite Beef Stew,617,46.6,100.3,34.3,30.7,961.5,https://www.allrecipes.com/recipe/149731/kyles-favorite-beef-stew/
Slow Cooker Vegan Leek And Potato Soup,251,35.7,,11,3.6,200,https://www.allrecipes.com/recipe/277492/slow-cooker-vegan-leek-and-potato-soup/
Slow Cooker Buffalo Chicken Sandwiches,578,80.6,54.1,14,31.3,2901.7,https://www.allrecipes.com/recipe/176132/slow-cooker-buffalo-chicken-sandwiches/
Rachaels Superheated Cajun Boiled Peanuts,360,16.2,,29.6,16.1,6206.6,https://www.allrecipes.com/recipe/170008/rachaels-superheated-cajun-boiled-peanuts/
Easy Slow Cooker Carne Guisada,366,22.7,77.4,19.8,24,682.3,https://www.allrecipes.com/recipe/54610/easy-slow-cooker-carne-guisada/
Sweet And Sour Meatballs,152,17.4,37.6,5.6,8.3,22.2,https://www.allrecipes.com/recipe/15551/sweet-and-sour-meatballs/
Honey Garlic Meatballs,516,44.4,150.8,23.4,31.5,1110,https://www.allrecipes.com/recipe/245596/honey-garlic-meatballs/
Slow Cooker Creamed Corn,193,13.7,41.7,15,3.4,113.9,https://www.allrecipes.com/recipe/25894/slow-cooker-creamed-corn/
Slow Cooker Beef Stew Iii,581,23.8,149.4,32.1,47.1,681.6,https://www.allrecipes.com/recipe/16303/slow-cooker-beef-stew-iii/
Grannylins Barbeque Ribs Made Easy,1062,49.2,336,54.1,88.2,1698.3,https://www.allrecipes.com/recipe/151893/grannylins-barbeque-ribs-made-easy/
London Broil For The Slow Cooker,220,4.6,72.5,8.1,30.2,663.2,https://www.allrecipes.com/recipe/138918/london-broil-for-the-slow-cooker/
Chicken Taco Filling,145,6,58.5,2.3,22,694.7,https://www.allrecipes.com/recipe/221256/chicken-taco-filling/
Slow Cooker Ham And Bean Soup,305,32,29.6,10.2,20.5,1114.3,https://www.allrecipes.com/recipe/228664/slow-cooker-ham-and-bean-soup/
Healthier Buffalo Chicken Dip,231,10.7,42.9,15.9,11,784.1,https://www.allrecipes.com/recipe/219456/healthier-buffalo-chicken-dip/
Kellys Slow Cooker Beef Mushroom And Barley Soup,359,31.7,65.3,10.3,34.6,381.1,https://www.allrecipes.com/recipe/220340/kellys-slow-cooker-beef-mushroom-and-barley-soup/
Slow Cooker Pork Chops Ii,275,4.2,49.4,19.7,20.3,269.8,https://www.allrecipes.com/recipe/87805/slow-cooker-pork-chops-ii/
Slow Cooker Reuben Dip,298,5.5,76.2,22.9,17.9,636.4,https://www.allrecipes.com/recipe/89707/slow-cooker-reuben-dip/
Slow Cooker Lamb Chops,209,18.5,43.6,7.7,13,550.5,https://www.allrecipes.com/recipe/262939/slow-cooker-lamb-chops/
Campbells Slow Cooker Chicken And Dumplings,331,34.3,51.7,11.7,22.1,993.7,https://www.allrecipes.com/recipe/177708/campbells-slow-cooker-chicken-and-dumplings/
Amazing Ribs,524,33.7,117,29.6,24.5,1034.2,https://www.allrecipes.com/recipe/53546/amazing-ribs/
Texas Beef Soup,306,9.4,65.7,19,23.4,1124.2,https://www.allrecipes.com/recipe/52804/texas-beef-soup/
Stephanies Freezer Spaghetti Sauce,66,8.1,,3.7,1.3,483.6,https://www.allrecipes.com/recipe/12054/stephanies-freezer-spaghetti-sauce/
Slow Cooker Beef Stroganoff I,376,9.5,96.7,27.3,22,711.1,https://www.allrecipes.com/recipe/16352/slow-cooker-beef-stroganoff-i/
Busy Day Slow Cooker Taco Soup,343,41.8,47.3,10.6,21.7,1403,https://www.allrecipes.com/recipe/242079/busy-day-slow-cooker-taco-soup/
Authentic Bangladeshi Beef Curry,320,8.8,68.6,23.1,19.5,50.4,https://www.allrecipes.com/recipe/193585/authentic-bangladeshi-beef-curry/
Slow Cooker Vegetarian Minestrone,138,25.2,2.2,1.7,6.9,940.5,https://www.allrecipes.com/recipe/230298/slow-cooker-vegetarian-minestrone/
Grandma Bs Bean Soup,324,47.2,18.9,7.2,18.5,464.9,https://www.allrecipes.com/recipe/72253/grandma-bs-bean-soup/
Fiesta Slow Cooker Shredded Chicken Tacos,71,2.4,30,1.2,11.2,415.4,https://www.allrecipes.com/recipe/242342/fiesta-slow-cooker-shredded-chicken-tacos/
Sour Cream Pork Chops,257,14.3,53.9,14.4,16.8,487.2,https://www.allrecipes.com/recipe/24037/sour-cream-pork-chops/
Slow Cooker Mediterranean Stew,122,30.5,,0.5,3.4,156.8,https://www.allrecipes.com/recipe/21302/slow-cooker-mediterranean-stew/
Slow Cooker Stuffed Peppers,233,18.5,45.6,10.7,15.6,295,https://www.allrecipes.com/recipe/236881/slow-cooker-stuffed-peppers/
Slow Cooker Mediterranean Lentil Soup,490,58.2,,19.1,22.9,101.1,https://www.allrecipes.com/recipe/260459/slow-cooker-mediterranean-lentil-soup/
Slow Cooker Butter Chicken,480,17.2,102.6,33.3,30.6,442,https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/
Slow Cooker Cheese Steaks,652,32.1,190.7,33.9,58.9,1220.5,https://www.allrecipes.com/recipe/217185/slow-cooker-cheese-steaks/
Chicken Tagine,380,38.5,64.7,15.2,22.3,571,https://www.allrecipes.com/recipe/180014/chicken-tagine/
Healthier Slow Cooker Chicken Taco Soup,328,42.9,50.3,5.8,28.8,1275,https://www.allrecipes.com/recipe/222109/healthier-slow-cooker-chicken-taco-soup/
Chicken Delicious,154,4.7,55,5.1,20.5,478.9,https://www.allrecipes.com/recipe/8771/chicken-delicious/
Easy Apple Cider,172,43.4,,0.1,0.1,31.1,https://www.allrecipes.com/recipe/42022/easy-apple-cider/
White Chicken Enchilada Slow Cooker Casserole,824,66.4,123.4,44,40,1930.9,https://www.allrecipes.com/recipe/87133/white-chicken-enchilada-slow-cooker-casserole/
Slow Cooker Pernil Pork,367,5.7,107.7,21,37.6,844.1,https://www.allrecipes.com/recipe/166823/slow-cooker-pernil-pork/
Slow Cooker Chicken Gumbo With Shrimp,282,32.3,119.1,6.7,22.4,562.2,https://www.allrecipes.com/recipe/238411/slow-cooker-chicken-gumbo-with-shrimp/
Classic Beef Stroganoff In A Slow Cooker,441,38.9,105.3,16.8,32.6,559.7,https://www.allrecipes.com/recipe/262072/classic-beef-stroganoff-in-a-slow-cooker/
Chicken Enchilada Slow Cooker Soup,186,22.9,39,3.4,18.4,1074.7,https://www.allrecipes.com/recipe/218057/chicken-enchilada-slow-cooker-soup/
Slow Cooker Pork Loin Roast With Brown Sugar And Sweet Potatoes,381,33.9,94.9,14.6,27.6,214.3,https://www.allrecipes.com/recipe/275214/slow-cooker-pork-loin-roast-with-brown-sugar-and-sweet-potatoes/
Sensational Steak Sandwich,908,78.8,109.2,40.6,55.7,2586.4,https://www.allrecipes.com/recipe/87111/sensational-steak-sandwich/
